Edge name,Node A,Node B,X of A,Y of A,X of B,Y of B,Avg Speed,Med Speed
478,177,178,-87.663371,41.692128605,-87.6521369958,41.6922468391,23.599931239972495,24.0
479,178,385,-87.6521369958,41.6922468391,-87.6423678761,41.6923662058,25.25567270226908,25.86666667
480,385,325,-87.6423678761,41.6923662058,-87.6329230833,41.6924612339,24.81984872794018,25.0
481,325,377,-87.6329230833,41.6924612339,-87.6210378457,41.6926191072,21.343800137520056,21.5
482,377,351,-87.6210378457,41.6926191072,-87.6098555211,41.6927636823,26.903162961265185,28.0
483,351,273,-87.6098555211,41.6927636823,-87.587375,41.6925060918,24.07002062800825,25.0
484,116,423,-87.6705316721,41.6919270142,-87.6811591434,41.6918107595,27.351134540453817,28.0
485,178,177,-87.6521369958,41.6922468391,-87.663371,41.692128605,22.379880051952785,23.0
486,385,178,-87.6423678761,41.6923662058,-87.6521369958,41.6922468391,25.67014286805638,25.5
487,325,385,-87.6329230833,41.6924612339,-87.6423678761,41.6923662058,25.266387806555123,26.0
488,377,325,-87.6210378457,41.6926191072,-87.6329230833,41.6924612339,22.154251661700666,22.52380952
489,351,377,-87.6098555211,41.6927636823,-87.6210378457,41.6926191072,24.333944533577814,25.0
490,273,351,-87.587375,41.6925060918,-87.6098555211,41.6927636823,24.633738253495302,25.0
491,116,177,-87.6705316721,41.6919270142,-87.663371,41.692128605,20.020857208342882,20.0
492,177,116,-87.663371,41.692128605,-87.6705316721,41.6919270142,20.994422797769882,21.0
493,413,493,-87.7817994463,41.7923206863,-87.7720738732,41.7933737658,27.964359385743755,28.33333333
494,493,394,-87.7720738732,41.7933737658,-87.7624017996,41.7957113818,27.56142562457025,27.8
495,394,179,-87.7624017996,41.7957113818,-87.7526561313,41.7972258202,24.953930781572314,25.0
496,179,513,-87.7526561313,41.7972258202,-87.742901795,41.7992986213,27.86603254641302,29.0
497,513,188,-87.742901795,41.7992986213,-87.7331712375,41.8001597557,25.969172587669036,26.0
498,188,485,-87.7331712375,41.8001597557,-87.7234813825,41.802319903,20.197341278936513,20.0
499,485,227,-87.7234813825,41.802319903,-87.7140359018,41.8078984272,26.528650011459316,27.0
500,227,185,-87.7140359018,41.8078984272,-87.7042592451,41.8141263473,27.355833142333257,28.0
501,185,186,-87.7042592451,41.8141263473,-87.6944841879,41.8200005579,23.773714023770342,25.0
502,186,19,-87.6944841879,41.8200005579,-87.6895768426,41.8229781071,25.692833677132707,26.0
502_1,19,506,-87.6895768426,41.8229781071,-87.6848985874,41.8259770206,25.692833677132707,26.0
503,506,296,-87.6848985874,41.8259770206,-87.6753714605,41.8318264945,26.379784551913822,27.0
504,296,503,-87.6753714605,41.8318264945,-87.6657607206,41.8376915712,27.155397662159753,27.5
505,503,491,-87.6657607206,41.8376915712,-87.6465040244,41.8471898313,26.595691038276414,27.0
506,491,492,-87.6465040244,41.8471898313,-87.6357040558,41.8528189814,29.223928489571396,29.0
508,493,413,-87.7720738732,41.7933737658,-87.7817994463,41.7923206863,27.452097180838873,28.0
509,394,493,-87.7624017996,41.7957113818,-87.7720738732,41.7933737658,26.521544808617925,27.0
510,179,394,-87.7526561313,41.7972258202,-87.7624017996,41.7957113818,25.37531515012606,26.0
511,513,179,-87.742901795,41.7992986213,-87.7526561313,41.7972258202,26.270112308044922,27.0
512,188,513,-87.7331712375,41.8001597557,-87.742901795,41.7992986213,26.49312399724891,27.0
513,485,188,-87.7234813825,41.802319903,-87.7331712375,41.8001597557,24.45484758193903,24.0
514,227,485,-87.7140359018,41.8078984272,-87.7234813825,41.802319903,27.65291466116663,28.0
515,185,227,-87.7042592451,41.8141263473,-87.7140359018,41.8078984272,25.353884941553975,26.0
516,186,185,-87.6944841879,41.8200005579,-87.7042592451,41.8141263473,23.161356864542746,24.0
517,506,186,-87.6848985874,41.8259770206,-87.6944841879,41.8200005579,26.707769883107954,27.0
518,296,506,-87.6753714605,41.8318264945,-87.6848985874,41.8259770206,18.267934907173963,17.0
519,503,296,-87.6657607206,41.8376915712,-87.6753714605,41.8318264945,26.326610130644053,27.0
520,491,503,-87.6465040244,41.8471898313,-87.6657607206,41.8376915712,21.011803804721524,18.0
521,492,491,-87.6357040558,41.8528189814,-87.6465040244,41.8471898313,30.175108870043548,30.0
525,92,259,-87.7666934439,41.9973019905,-87.7642843799,41.9961931764,24.153564061425623,26.0
526,259,384,-87.7642843799,41.9961931764,-87.7508948881,41.9902248879,31.68840247536099,31.31578947
527,91,408,-87.7824464721,42.0048181241,-87.788761284,42.0119323327,31.55328902131561,31.82857143
528,92,91,-87.7666934439,41.9973019905,-87.7824464721,42.0048181241,31.69424707769883,31.91176471
529,259,92,-87.7642843799,41.9961931764,-87.7666934439,41.9973019905,22.527618611047444,26.0
530,384,259,-87.7508948881,41.9902248879,-87.7642843799,41.9961931764,31.44430437772175,32.0
531,290,151,-87.7394800407,41.8513755877,-87.7345089641,41.8514453707,29.965734586293834,32.0
532,151,473,-87.7345089641,41.8514453707,-87.7248323347,41.851569942,23.99335319734128,25.0
533,473,244,-87.7248323347,41.851569942,-87.7150041523,41.8516385978,22.351249140499657,23.0
534,244,158,-87.7150041523,41.8516385978,-87.7110164637,41.8518240159,20.139926655970662,21.0
535,158,159,-87.7110164637,41.8518240159,-87.7052172041,41.8518820663,20.774352509741004,21.0
536,159,253,-87.7052172041,41.8518820663,-87.695432654,41.8518775686,18.6211322484529,19.0
537,253,500,-87.695432654,41.8518775686,-87.6856431889,41.8520509239,19.124111849645427,19.0
538,500,406,-87.6856431889,41.8520509239,-87.675860549,41.8521626271,18.42795477118313,18.5
539,406,512,-87.675860549,41.8521626271,-87.6659829714,41.8523418111,17.63809305523722,18.0
540,512,382,-87.6659829714,41.8523418111,-87.6561814965,41.8525425812,22.25613110245244,22.0
541,382,501,-87.6561814965,41.8525425812,-87.6464782081,41.8526642885,21.290854916341967,21.0
542,501,492,-87.6464782081,41.8526642885,-87.6357040558,41.8528189814,25.25498510199404,25.25
543,17,127,-87.6308846279,41.852771787,-87.6270532698,41.8528614434,17.7429520971813,17.5
543_1,492,17,-87.6357040558,41.8528189814,-87.6308846279,41.852771787,17.7429520971813,17.5
544,471,439,-87.62383363,41.8528414365,-87.6191856058,41.8523616756,18.61838184735274,18.66666667
545,127,471,-87.6270532698,41.8528614434,-87.62383363,41.8528414365,17.353541141415768,17.44827586
546,151,290,-87.7345089641,41.8514453707,-87.7394800407,41.8513755877,26.542402016960807,28.0
547,473,151,-87.7248323347,41.851569942,-87.7345089641,41.8514453707,23.927458170983268,24.0
548,244,473,-87.7150041523,41.8516385978,-87.7248323347,41.851569942,20.710291084115973,21.75
549,158,244,-87.7110164637,41.8518240159,-87.7150041523,41.8516385978,20.920925968370387,23.0
550,159,158,-87.7052172041,41.8518820663,-87.7110164637,41.8518240159,21.767247306900757,23.0
551,253,159,-87.695432654,41.8518775686,-87.7052172041,41.8518820663,18.612995645198257,19.0
552,500,253,-87.6856431889,41.8520509239,-87.695432654,41.8518775686,19.63339445335847,20.0
553,406,500,-87.675860549,41.8521626271,-87.6856431889,41.8520509239,18.114600045838642,18.60869565
554,512,406,-87.6659829714,41.8523418111,-87.675860549,41.8521626271,20.01042860417144,21.0
555,382,512,-87.6561814965,41.8525425812,-87.6659829714,41.8523418111,21.403506761402703,22.0
556,501,382,-87.6464782081,41.8526642885,-87.6561814965,41.8525425812,21.712812285124915,22.0
557,492,501,-87.6357040558,41.8528189814,-87.6464782081,41.8526642885,24.99805179922072,25.0
558,127,492,-87.6270532698,41.8528614434,-87.6357040558,41.8528189814,22.019825807930324,23.0
559,439,471,-87.6191856058,41.8523616756,-87.62383363,41.8528414365,18.81744212697891,19.0
560,471,127,-87.62383363,41.8528414365,-87.6270532698,41.8528614434,15.301741920694708,15.66666667
563,425,289,-87.7413788983,41.7491988649,-87.7417822019,41.761899065,25.94453357781343,27.0
564,289,320,-87.7417822019,41.761899065,-87.7420496526,41.7711263757,27.516273206509283,28.0
565,320,134,-87.7420496526,41.7711263757,-87.7422979296,41.778410691,24.24203529681412,25.0
566,134,135,-87.7422979296,41.778410691,-87.741409301,41.7843180193,30.606807242722898,31.0
567,135,479,-87.741409301,41.7843180193,-87.7419814392,41.7930335549,36.43513637405455,38.0
568,479,513,-87.7419814392,41.7930335549,-87.742901795,41.7992986213,26.540224616089848,28.0
569,513,365,-87.742901795,41.7992986213,-87.7431423829,41.8076275546,27.11987164794866,28.0
570,365,383,-87.7431423829,41.8076275546,-87.7433350339,41.8149309658,24.032202612880358,25.0
571,383,144,-87.7433350339,41.8149309658,-87.7435684203,41.8220945568,25.07471922988838,25.5
572,470,154,-87.7447718015,41.8659427313,-87.7449909945,41.8731392068,21.594086637634653,22.0
573,154,434,-87.7449909945,41.8731392068,-87.7452483261,41.8811648046,19.893994957597982,20.0
574,434,262,-87.7452483261,41.8811648046,-87.7455239656,41.8879214504,21.356864542745818,21.0
575,262,249,-87.7455239656,41.8879214504,-87.7458120854,41.8949865388,22.888837955535184,23.0
576,249,248,-87.7458120854,41.8949865388,-87.7459861427,41.9023424796,25.151845060738026,25.5
577,248,460,-87.7459861427,41.9023424796,-87.7461005015,41.9096272103,23.447398578959433,24.0
